,ratio,current,activity
0,0,4.44E-20,-0.500305892
9,0.125,3.79E-16,-0.406486463
10,0.25,1.12E-13,-0.337334147
39,0.375,4.15E-12,-0.294249479
49,0.46875,4.10E-12,-0.294388113
43,0.484375,3.47E-12,-0.296241938
27,0.5,6.50E-13,-0.315064025
47,0.625,1.11E-12,-0.41855728
41,0.75,6.35E-15,-0.430810323
48,0.875,2.70E-14,-0.59253603
8,1,1.41E-37,-0.95267136
