,ratio,current,activity
0,0,1.74E-16,-0.407392166
39,0.078125,2.13E-12,-0.314165076
16,0.125,2.03E-12,-0.30785664
31,0.234375,2.05E-12,-0.302185968
25,0.25,3.82E-12,-0.29517478
49,0.375,6.38E-13,-0.435183495
43,0.5,3.14E-16,-0.404465705
51,0.625,1.04E-12,-0.347549702
45,0.75,2.05E-12,-0.303295189
30,0.875,5.26E-17,-0.567623302
8,1,2.37E-49,-1.25705987
