,ratio,current,activity
0,0,3.59E-23,-0.624537091
25,0.113924051,5.72E-16,-0.512083933
24,0.164556962,2.86E-13,-0.458261696
32,0.240506329,1.43E-14,-0.501953376
27,0.367088608,1.13E-13,-0.588016785
28,0.493670886,2.17E-18,-0.656792952
13,0.620253165,2.60E-13,-0.779149449
14,0.746835443,1.10E-19,-0.919306253
15,0.873417722,3.81E-41,-1.112582223
8,1,8.74E-53,-1.368975019
